Context,Utterance,Label
"Can you sort me out a wiki account? __eou__ __eot__ for warty? __eou__ __eot__ Built against unstable, so ought to work fine in warty __eou__ It's in http://www.codon.org.uk/~mjg59/tmp/ __eou__ __eot__ building __eou__ works here __eou__ __eot__ ","default for recovery mode is to not ask for password, if it does, it msy well have. __eou__",0
you just click UserPreferences and create one ... __eou__ __eot__ I can't access the wiki at all - it throws http auth at me __eou__ __eot__ ,unless nat gets distracted by something shinier <g> __eou__,1
I don't believe APT does support rsync __eou__ __eot__ I think I was thinking of ssh __eou__ __eot__ ,"heh :) __eou__ Kinnison just called me -- apparently, inspiration has struck regarding grub-install and XFS __eou__ can you call him? __eou__",1
"hey dieman, good to see you __eou__ __eot__ nice to see you too. __eou__ __eot__ there's a pkg-diff tool ... __eou__ yeah __eou__ daily/current/ __eou__ 30/40-some gig __eou__ __eot__ yikes __eou__ i might just rsync the 'current' dirs __eou__ __eot__ that makes more sense __eou__ eventually you'll probably just want to take /releases/ __eou__ yes, a direct copy __eou__ cool __eou__ __eot__ is discover1-data sync'ed with sid? __eou__ in ubuntu? __eou__ __eot__ ",oh okay thanks for the tip... ill have to learn more then to figure that out but wont worry that for now as this laptop should last __eou__,0
"hmm __eou__ im going to have to compare our packages list to the seeds. __eou__ and figure out whats left over __eou__ __eot__ ooh, please post to the mailing list when you do __eou__ __eot__ sure __eou__ __eot__ just working out how we can make an easy to use list of all our supported packages for you to compare against -> easier than comparing with the seeds ;) __eou__ we basically disable discover __eou__ __eot__ ahh, ok __eou__ __eot__ haha :) oops __eou__ __eot__ ","btw, metaverse was a great idea, i'm impressed with it so far. __eou__ or whatever this non-free stuff in ubuntu thing is :) __eou__",1
"so how does laptop-detect work? __eou__ __eot__ with some nasty sed and grep __eou__ get off the train, walk to taxi, say ""the oxford hotel"" __eou__ __eot__ sounds easy. oxford only has one station i presume __eou__ __eot__ yep __eou__ the big signs saying canonical will probably be a clue :-) __eou__ __eot__ i might call you when i get there to find someone i know :) __eou__ __eot__ that's a feature __eou__ learn to count :-) __eou__ shame about it's author __eou__ __eot__ the no-armed frenchman you mean? i just package it __eou__ actually, there is probably still RossCode in it  __eou__ i'm still waiting for the patch __eou__ __eot__ pffft __eou__ __eot__ thought i've nearly got quality sorted! __eou__ __eot__ cool :-) __eou__ hrm, care to file a bug to remove ephy web bookmarks for us, too? __eou__ does it work correctly in debian? do you not get any events at all when you plug it in post boot? __eou__ __eot__ dude, its 11 and you've just had breakfast. get up earlier you slacker __eou__ __eot__ i've been up since 8 :-) __eou__ __eot__ http://www.advogato.org/person/alex/diary.html?start=10. per-user apache daemons...  __eou__ __eot__ heh, nice __eou__ preforking with no modules loaded, 2M is about right __eou__ jdub hates __eou__ if your install isn't recent, you need to add 'restricted' to your apt sources __eou__ __eot__ thanks __eou__ fool, you should have got some sleep __eou__ __eot__ ","yay :-) __eou__ ooh, lovely __eou__",1
"did robot101 left already?` __eou__ __eot__ yeah, yesterday __eou__ have fun, and congrats __eou__ __eot__ i would love to know that... __eou__ can you do a test for me if you can? but you will have to exit X __eou__ ??? __eou__ __eot__ yes, it's 105. most everything that isn't US is 105 aiui __eou__ s/until/as long as/ __eou__ __eot__ thanks :-) __eou__ no idea... __eou__ fresh install of crack of the day: gdm login -> ""can't access ACPI bla bla bla"" __eou__ you don't want to be me... __eou__ ah, it happened to you too? (the gdm start)... __eou__ for the resolution too low, we need to change xresprobe. __eou__ X doesn't guess or scale anything. It just accept xresprobe output as-is __eou__ __eot__ it's the old thing - i get 1280x1024 added to the end of the line, but this is an lcd monitor, and that's the native res __eou__ __eot__ yes. i remember that... we need to change xresprobe to not sort resolutions __eou__ did you report gdm not starting on a fresh install? __eou__ __eot__ no, will do __eou__ __eot__ ",i can do it.. don't worry __eou__ gdm? __eou__,1
"damn, your french is good, better than my english ... we should talk french here :) __eou__ yeah, I know that feeling :p __eou__ __eot__ what, your french sucking?  __eou__ that sounds reasonable __eou__ ^ __eou__ dude __eou__ __eot__ what ? __eou__ __eot__ fresh install. gedit appears to be http handler again __eou__ __eot__ same problem, gconf key for enable off ? __eou__ __eot__ yeah __eou__ both http and https have command and enabled set to <no value> __eou__ __eot__ LC_ALL=C HOME=/root GCONF_CONFIG_SOURCE=`gconftool-2 --get-default-source` gconftool-2 --makefile-install-rule /usr/share/gconf/schemas/desktop_gnome_url_handlers.schemas && killall gconfd-2 and then look at the key again helps ? __eou__ oups, s#/usr/share/#/etc/# __eou__ __eot__ ","listen i'm not your wikipedia. __eou__ if you don't want to do it, then don't. ;) __eou__",0
"we have reached the string freeze IIRC __eou__ warty or debian ? __eou__ ok __eou__ we have not moved the schemas in warty __eou__ no idea __eou__ they should never change __eou__ me ? no __eou__ but I don't package evolution :) __eou__ and I want the new evolution1.5 release packaged __eou__ new fileselector in this one __eou__ __eot__ yeah, it looks nice too :0 __eou__ __eot__ sorry, I've not had time to look on your patch yet, but I don't forget it, don't worry __eou__ __eot__ Its ok, I'll do the changes, just keep working __eou__ I'm waiting for the new pmount as well __eou__ sorry, my bad __eou__ I think we may roll back that patch anyway __eou__ __eot__ no problem, don't worry __eou__ what's a ""pretty initscript"" ? (ie: what are you changing in the script ?) __eou__ __eot__ all output in all initscripts is being change to use the output functions from /lib/lsb/init-functions __eou__ actually, I've secretly encoded picures of beautiful women into the initscript code ;) __eou__ __eot__ cool :) __eou__ that's industrial icon theme __eou__ __eot__ they take up most of my screen __eou__ and I'm running at 1600x1200 __eou__ __eot__ ok, so that not. i've the feeling that industrial icon are like 1.5 bigger here, but not taking most of the screen __eou__ __eot__ ",no worries! __eou__,0
"hi there __eou__ please mail the sounders list -> we should really look at that __eou__ __eot__ I do not really want subscribing to YAML. I added a note in the wiki earlier today __eou__ __eot__ yeah, so hopefully we'll be shipping gpdf by default in Hoary, with mozilla plugin goodness. __eou__ __eot__ is it in gnome 2.8? I haven't seen it yet __eou__ __eot__ ",look at /usr/share/doc/binutils/ then __eou__,0
"she doesn't get to until I get home. __eou__ gnome USB palm.  config. __eou__ __eot__ what's the problem? __eou__ __eot__ probably user error. __eou__ and then if there's a ""setting up your USB palm with evolution"" howto-for-the-clueless, that'd be wonderful.. __eou__ __eot__ hrm, dunno __eou__ __eot__ someone's blog, I imagine? __eou__ __eot__ ","mmm, gnome dude from perth __eou__ btw, __eou__",1
"isos downloading, eta an hour and change __eou__ __eot__ you might just get to it before lamont's winona does, then ;-) __eou__ hrm, those are the ""gdm/x did not start"" dialogues __eou__ utf-8 problems with dialog __eou__ __eot__ ",automated __eou__,0
"yo dude __eou__ __eot__ dude __eou__ __eot__ 'sup? __eou__ __eot__ been fun watching the .us and .au swimmers duke it out in the Olympic swim meet... __eou__ __eot__ heh __eou__ __eot__ see you next week? __eou__ __eot__ oh, auug, right. rock. __eou__ just drop me an email, or call +61 403 505 896 __eou__ __eot__ I arrive Tuesday morning your time, depart Fri morning, will be staying at the Duxton __eou__ __eot__ ... three days? __eou__ __eot__ short visit this time, my daughter is participating in a state-level violin competition a week from tomorrow, I want to be home for that. __eou__ __eot__ ","last time I tryed Enlightenment, it wasnt very stable __eou__ it's been about a year tho __eou__",0
"fab __eou__ and where are you in the hotel? __eou__ or should i just follow my nose for the smell of laptops and stale sweat? __eou__ __eot__ i am in finnstock __eou__ were you searching for me before? __eou__ did you upgrade or did you install xserver? __eou__ it works if it can detect everything.. yes. __eou__ you around? __eou__ __eot__ done __eou__ __eot__ are you on a laptop? __eou__ __eot__ no, desktop with iiyama lcd __eou__ __eot__ chipset? __eou__ __eot__ nVidia Corporation NV18 __eou__ in X or from a console? __eou__ __eot__ ",wpa2 ? __eou__,0
"yo __eou__ walk in, turn left, first right into the conference centre, up the stairs, first right to the end into the cherwell room __eou__ i suggest 'mad phat' __eou__ __eot__ you can only say ""mad phat"" if cruising down a street with jdub's banging ghetto blaster __eou__ so my lcd manual says it supports ""ddc 1/2b"" yet xresprobe says its a generic monitor (non ddc) __eou__ __eot__ what does ddcprobe say? __eou__ pc104 used to work, but now you just silently use a key :) __eou__ __eot__ i'll torment you as well unless you tell me where your x.org debs are ;) __eou__ __eot__ http://fooishbar.org/daniel/canonical-x/, i'm not even going to tell you what the deb line is because HERE BE DRAGONS, seriously __eou__ if you really, seriously need them, i'll upload all the source packages form my laptop; expecting those ones to even install is a bit of a stretch as i was in the middle of redoing all of them when i started exclusively working on warty concerns __eou__ __eot__ i keep on thinking about playing with composite et al, that is all __eou__ __eot__ ah. probably best to just bust out jhbuild and build kdrive, then? __eou__ __eot__ yeah __eou__ its great __eou__ hoff and shatner are in it __eou__ __eot__ DUDE! no shit? __eou__ __eot__ http://imdb.com/title/tt0364725/fullcredits __eou__ isn't that against some international law? __eou__ isn't this pleasant? __eou__ __eot__ yeah, just accidentally whacked the wrong key. how's things? __eou__ __eot__ ",not bad. finally saw Shaun Of The Dead so things are looking up. you? __eou__,1
"hey dude __eou__ __eot__ howerya __eou__ __eot__ not too bad, trying to find a way to get me a ticket to melbourne in my hand before friday morning __eou__ __eot__ yes, 9th-17th :) __eou__ __eot__ ", good luck. all i can say is. I hope you got backups handy also. __eou__,0
"I'm in wooten with Jeff and some other guys __eou__ __eot__ any reason why i need to join there? __eou__ __eot__ no __eou__ s/fabbione/rburton/ in fact __eou__ already heard about such problem ? __eou__ jdub is waiting for the new libsoup/gtkhtml/evolution packages to fix evolution-* __eou__ I was kind of waiting for kitame packages in debian to spare some work, usually he packages them pretty quickly __eou__ __eot__ well the problem is that warty is not installable atm. __eou__ and all dailys are crack __eou__ __eot__ outch, ok __eou__ __eot__ ok thanks. __eou__ pinf __eou__ gnome-games __eou__ anything simple that works is fine. i don't need anything fancy __eou__ qcad looks good :) __eou__ __eot__ ","about #1045, you're sure the buffer is lost ? IIRC you can switch back to the console __eou__",1
"nobody here has __eou__ http://people.debian.org/~joey/3.0r3/ has a couple packages in ""need more info"" status because they never built on hppa and/or ia64 ... got time to take a peek? __eou__ __eot__ curious... all of the packages marked 'MISSING hppa' I've looked at are either (1) built successfully long ago, or (2) not tried __eou__ __eot__ debian-only package (debootstrap) that I'm about to NMU has version 0.2.44 ... is 0.2.44.1 the right version for me to use for a source NMU? __eou__ __eot__ that's what I'd use __eou__ __eot__ thanks, I'm never sure what to do with debian-only version numbers... __eou__ __eot__ it's really a question of whether or not the previous version was an NMU.. __eou__ __eot__ to the best of my knowledge, dselect is still the only front-end to package management that gets the handling of all dependency types right. __eou__ __eot__ ","yeah, but if you have binaries in your package, that depend on a shlib, is it _LEGAL_ to make that just a recommends? __eou__",1
more or less all of the loose machines available for trying things out here are non-i386 systems...  __eou__ __eot__ sudo -s __eou__ what kernel are you running on your laptop these days? __eou__ __eot__ ,on the nc4000? __eou__ locally-built 2.6.8.1 __eou__,1
"I only have a single machine here, so I want to make sure that it's actually serving properly without resorting to multiple X servers __eou__ Do you want source or is a deb fine? __eou__ __eot__ just vncclient to localhost __eou__ __eot__ ",Doesn't that go horribly wrong? __eou__ s/locale/locate/ ? __eou__,1
"anyone awake? __eou__ I just had the same problem as bdale yesterday __eou__ I had to manually add my driver to the XF86Config __eou__ I had the same garbled text dialogs also. __eou__ __eot__ which driver was written in the config file? __eou__ if you notice a bug in sid pleaase report it to Debian. If the same behaviour happens with warty, please let us know and we will track the bug as well __eou__ __eot__ ","my fellow opera, I can't view embedded video on webpages. can you? __eou__",0
"the c3, dude __eou__ __eot__ ping __eou__ __eot__ pong __eou__ __eot__ is jriddell a sane kde dude? __eou__ __eot__ yeah __eou__ he seems to be, at any rate __eou__ __eot__ so who do you reckon i should start talking to about kubuntu? __eou__ __eot__ i don't know if mornfall or ervin have tried it; they seemed quite busy. have they emailed you? __eou__ i think jriddell could quite well be a sane kubuntu seed __eou__ blardy hell. :\ __eou__ yeah, i think that could be good __eou__ __eot__ did you speak to him at akademy? __eou__ __eot__ actually, no; go figure __eou__ __eot__ intriguing __eou__ so did akademy keep the kde flame burning inside your heart? __eou__ __eot__ the pilot light was out, and it didn't even provide a bit of gas __eou__ the discussion about the control centre was classic. they were talking about doing macrousability on it, and i put my hand up and pointed out that even when I was hacking on it, it still took me 5 minutes to find what I want, and got a bit of scorn for that __eou__ __eot__ are you coming up for debsig? __eou__ __eot__ yeah, probably just for the day though __eou__ that's probably fun with framebuffers __eou__ acpi=force __eou__ __eot__ ","yeah, it says that right next to it... but i don't think i want to :) __eou__",1
"when i find a network connection for the c3, i'll get you its dsdt __eou__ __eot__ dsdts? __eou__ __eot__ \o/ UBUNTU __eou__ heh __eou__ your job is to entertain me so I don't fall asleep at 2pm and totally destroy my migration to AEST __eou__ what specifically from D-BUS do you need? we can probably backport it __eou__ __eot__ Rock __eou__ __eot__ um, I've not had any problems with the acpi.sf.net patch (default Warty kernel) __eou__ __eot__ For suspend-to-disk __eou__ Oh, yeah, I was supposed to tell you what was needed from CVS dbus for Beagle... __eou__ __eot__ if you wanted a backport, yeah ;) __eou__ __eot__ The BusDriver.cs stuff in the mono directory __eou__ __eot__ ok, I'll check it out __eou__ __eot__ Basically, everything trow has added since the end of August __eou__ __eot__ 'k __eou__ 16 million? __eou__ __eot__ If I think big all the time, I am disappointed all the time. As a result, I am used to disappointment and rarely feel unhappy. __eou__ __eot__ your LiveJournal disagrees with you __eou__ __eot__ Anger does not imply unhappiness __eou__ __eot__ fair enough __eou__ __eot__ This is, uh, not strictly true __eou__ __eot__ hey man, did you *feel* how hot that thing got? __eou__ __eot__ I've got the craptop ready and waiting for VIA driver updates... __eou__ __eot__ ","at the moment, as fabbione alluded to, you get to pick which half of the deployed Via userbase you want to screw __eou__ yay! __eou__ yeah, I think it totally screwed DFP users also __eou__ OBNOXIOUS HIGHLIGHTING TRIGGER ^^ __eou__ hm, I thought fglrx used DRI __eou__",1
"oh __eou__ i am slow :) __eou__ haha, thought you were in wootton# __eou__ __eot__ damn it... __eou__ can you tell the bastard that he should have come on tuesday? __eou__ __eot__ whoa, d'Ubuntu! :) __eou__ __eot__ ",choose __eou__ sounds great doesn't it? :) __eou__ does that exist? __eou__,1
is Kamion around? __eou__ ok thanks __eou__ ubuntu6 has a few nasty bugs we want fixed __eou__ i am building a test release right now __eou__ __eot__ any eta on new images? __eou__ __eot__ i think there will be soon new images with the new X __eou__ __eot__ cool.. just clearing out some spare drives so I can do a number of installs __eou__ __eot__ X on Sounder6 is safe __eou__ __eot__ no probs __eou__ __eot__ uk __eou__ rsync is your friend __eou__ i sugget to use rsync __eou__ rsync will fix the iso __eou__ __eot__ rsync won't bring back the directory inode __eou__ __eot__ that's not completely true... __eou__ __eot__ ,esp since it's 8pm here __eou__,1
"this is _good_ crack. __eou__ __eot__ yup __eou__ __eot__ that was last friday. :) __eou__ __eot__ we bought the house today !:) __eou__ ALWAYS! __eou__ are you busy? __eou__ __eot__ I think it might return ppc64 as well __eou__ I will, I think __eou__ __eot__ we still have the BTS via IMAP access :-) __eou__ __eot__ ",What would you then call it? __eou__,0
is Kamion around? __eou__ __eot__ I think he's sleeping __eou__ __eot__ we will need another X kick today __eou__ __eot__ ,"no, it is a launch script for a program called ren'py. __eou__",0
